codelist_name,urn,notation,label,description
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C303,N/A,N/A,Manufacture of air and spacecraft and related machinery
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C31,N/A,N/A,Manufacture of furniture
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C31_32,N/A,N/A,Manufacture of furniture; other manufacturing
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C31T33,N/A,N/A,"Manufacture of furniture; jewellery, musical instruments, toys, etc.; repair and installation of machinery and equipment"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C32,N/A,N/A,Other manufacturing
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).C33,N/A,N/A,Repair and installation of machinery and equipment
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).D,N/A,N/A,"Electricity, gas, steam and air conditioning supply"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).D35,N/A,N/A,"Electricity, gas, steam and air conditioning supply"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).E,N/A,N/A,"Water supply; sewerage, waste management and remediation activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).E36,N/A,N/A,"Water collection, treatment and supply"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).E37,N/A,N/A,Sewerage
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).E37T39,N/A,N/A,"Sewerage, waste management, remediation activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).E38,N/A,N/A,"Waste collection, treatment and disposal activities; materials recovery"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).E39,N/A,N/A,Remediation activities and other waste management services
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).F,N/A,N/A,Construction
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).F41,N/A,N/A,Construction of buildings
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).F42,N/A,N/A,Civil engineering
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).F43,N/A,N/A,Specialised construction activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).FDI_T,N/A,N/A,All FDI activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).G,N/A,N/A,Wholesale and retail trade; repair of motor vehicles and motorcycles
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).G_I,N/A,N/A,Wholesale and retail trade; repair of motor vehicles and motorcycles; Accommodation and food service activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).G45,N/A,N/A,Wholesale and retail trade and repair of motor vehicles and motorcycles
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).G46,N/A,N/A,"Wholesale trade, except of motor vehicles and motorcycles"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).G47,N/A,N/A,"Retail trade, except of motor vehicles and motorcycles"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTI,N/A,N/A,"Wholesale and retail trade, transport, accommodation and food service activities"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTJ,N/A,N/A,Wholesale and retail trade; transport; accommodation and food service activities; information and communication
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTN,N/A,N/A,Market services - sections G to N
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTN_RTU,N/A,N/A,"Market services - Services excluding public administration, education, health and social services - sections G to N and R to U"
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTS,N/A,N/A,Services (except activities of households as employers and extra-territorial organisations and bodies)
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTU,N/A,N/A,Services
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).GTUXH,N/A,N/A,Services (except transportation and storage)
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H,N/A,N/A,Transportation and storage
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H_J,N/A,N/A,Transportation and storage; Information and communication
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H49,N/A,N/A,Land transport and transport via pipelines
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H50,N/A,N/A,Water transport
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H51,N/A,N/A,Air transport
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H52,N/A,N/A,Warehousing and support activities for transportation
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).H53,N/A,N/A,Postal and courier activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).HX53,N/A,N/A,Transport and storage except postal and courier activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).I,N/A,N/A,Accommodation and food service activities
Industrial activity code list,urn:sdmx:org.sdmx.infomodel.codelist.Code=ESTAT:CL_ACTIVITY(1.5).I55,N/A,N/A,Accommodation
